id,word,answer,hint,category
1,犬も歩けば棒に当たる,いぬもあるけばぼうにあたる,何か行動を起こせば幸運に出会ったり災難に遭ったりすること,ことわざ
2,猫に小判,ねこにこばん,価値のわからない者に高価なものを与えても無駄になること,ことわざ
3,猿も木から落ちる,さるもきからおちる,どんな名人でも時には失敗することがあること,ことわざ
4,石の上にも三年,いしのうえにもさんねん,辛抱強く続ければ、いつか必ず成功すること,ことわざ
5,急がば回れ,いそがばまわれ,急いでいる時こそ、危険を避け確実な方法をとる方が結局は早いこと,ことわざ
6,塵も積もれば山となる,ちりもつもればやまとなる,わずかなものでも積もり積もれば大きなものになること,ことわざ
7,知らぬが仏,しらぬがほとけ,知らないことで心配せずにいられること,ことわざ
8,弘法にも筆の誤り,こうぼうにもふでのあやまり,どんな名人でも時には失敗することがあること,ことわざ
9,三人寄れば文殊の知恵,さんにんよればもんじゅのちえ,凡人でも三人集まって相談すれば、良い知恵が出るものだということ,ことわざ
10,花より団子,はなよりだんご,見かけの美しさよりも実益のある方を選ぶこと,ことわざ
11,覆水盆に返らず,ふくすいぼんにかえらず,一度起きてしまったことは取り返しがつかないこと,ことわざ
12,蛙の子は蛙,かえるのこはかえる,子は親に似るものだということ,ことわざ
13,隣の芝生は青い,となりのしばふはあおい,他人のものは何でも良く見えること,ことわざ
14,鬼に金棒,おににかなぼう,強いものがさらに強くなること、得意な者がさらに有利な条件を得ること,ことわざ
15,立つ鳥跡を濁さず,たつとりあとをにごさず,去り際をきれいにすること、後始末をきちんとすること,ことわざ
16,能ある鷹は爪を隠す,のうあるたかはつめをかくす,本当に能力のある者は、むやみにそれをひけらかさないこと,ことわざ
17,油断大敵,ゆだんたいてき,油断すると大きな失敗のもとになるので、注意を怠るなということ,ことわざ
18,後悔先に立たず,こうかいさきにたたず,物事が起きてから後悔しても、もう手遅れだということ,ことわざ
19,口は災いの元,くちはわざわいのもと,不用意な発言が災難を招く原因になること,ことわざ
20,失敗は成功のもと,しっぱいはせいこうのもと,失敗を反省し努力すれば、かえって成功につながること,ことわざ
21,灯台下暗し,とうだいもとくらし,身近なことほど気づきにくいこと,ことわざ
22,喉元過ぎれば熱さを忘れる,のどもとすぎればあつさをわすれる,苦しい状況を乗り越えると、その苦しみを忘れてしまうこと,ことわざ
23,笑う門には福来る,わらうかどにはふくきたる,いつも笑顔でいれば幸せが訪れること,ことわざ
24,百聞は一見に如かず,ひゃくぶんはいっけんにしかず,何度聞くよりも一度実際に見た方が確かだということ,ことわざ
25,情けは人のためならず,なさけはひとのためならず,人に親切にすれば、巡り巡って自分に良い報いが返ってくること,ことわざ
26,手を抜く,てをぬく,すべきことをいい加減に済ませる,慣用句
27,足を引っ張る,あしをひっぱる,人の成功や前進を妨げる,慣用句
28,首を長くする,くびをながくする,待ち遠しく思う,慣用句
29,目がない,めがない,非常に好きで、夢中になる,慣用句
30,耳を傾ける,みみをかたむける,熱心に話を聞く,慣用句
31,鼻が高い,はながたかい,自慢に思う、得意である,慣用句
32,肩を並べる,かたをならべる,同じくらいの実力を持つ,慣用句
33,胸をなでおろす,むねをなでおろす,安心する,慣用句
34,腕を上げる,うでをあげる,技術や能力が向上する,慣用句
35,腰が低い,こしがひくい,へりくだって人に接する,慣用句
36,腹を割る,はらをわる,本心を打ち明ける,慣用句
37,心を鬼にする,こころをおににする,相手のためを思い、あえて厳しく接する,慣用句
38,水に流す,みずにながす,過去の過ちや恨みを無かったことにする,慣用句
39,口を滑らす,くちをすべらす,うっかり秘密などを話してしまう,慣用句
40,顔を出す,かおをだす,その場に姿を見せる、出席する,慣用句
41,目を皿にする,めをさらにする,目を大きく見開いて注意深く見る,慣用句
42,矛盾,むじゅん,つじつまが合わないこと,故事成語
43,早起きは三文の徳,はやおきはさんもんのとく,早起きすると、わずかではあっても何か良いことがあるということ,ことわざ
44,案ずるより産むが易し,あんずるよりうむがやすし,心配するよりも、実際に行動してみる方が案外たやすいということ,ことわざ
